task,task_normalized,soc_code_2010,title,title_normalized,task_type,n_responding,domain_source,n_occurrences,pct_weighted,pct_normalized,major_occ_category,broad_counts,h_med_nat_2024,a_med_nat_2024,h_med_ut_2024,a_med_ut_2024,emp_tot_nat_2024,emp_tot_ut_2024,h_med_nat_nominal_2015,a_med_nat_nominal_2015,h_med_nat_real_2015,a_med_nat_real_2015,h_med_ut_nominal_2015,a_med_ut_nominal_2015,h_med_ut_real_2015,a_med_ut_real_2015,emp_tot_nat_2015,emp_tot_ut_2015,emp_pct_nat_2024,emp_pct_ut_2024,emp_pct_nat_2015,emp_pct_ut_2015,freq_mean_2025,importance_2025,relevance_2025,imputed_rating_mean_2025,freq_mean_2015,importance_2015,relevance_2015,imputed_rating_mean_2015
"Design, install, or troubleshoot manufacturing equipment.",design install or troubleshoot manufacturing equipment,17-2199.04,Manufacturing Engineers,manufacturing engineers,Core,21.0,Occupational Expert,1.0,0.002422515831140928,0.003137126956390761,Architecture and Engineering Occupations,1.0,48.63,101140.0,48.42,100710.0,87557.5,4580.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,2066.0,9.0,0.05678642441424195,0.2189836861935089,0.0014982233797395817,0.00047788202685696994,0.10895115384615384,3.62,92.31,False,0.4080769230769231,3.79,95.24,False
Create embedded software design programs.,create embedded software design programs,17-2199.05,Mechatronics Engineers,mechatronics engineers,Supplemental,66.0,Incumbent,1.0,0.0012920084432751565,0.0016731343767417326,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,6375.0,28.0,0.01629510793944355,0.07267580851836976,0.004623027127705631,0.0014867440835550174,0.21383615384615384,3.46,49.39,False,2.4451488461538466,3.33,32.27,False
Design engineering systems for the automation of industrial tasks.,design engineering systems for the automation of industrial tasks,17-2199.05,Mechatronics Engineers,mechatronics engineers,Core,66.0,Incumbent,1.0,0.0054102853562147425,0.0070062502026060364,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,6375.0,28.0,0.01629510793944355,0.07267580851836976,0.004623027127705631,0.0014867440835550174,2.9014969230769228,3.89,89.05,False,2.879986153846154,3.94,88.22,False
"Design, develop, or implement control circuits or algorithms for electromechanical or pneumatic devices or systems.",design develop or implement control circuits or algorithms for electromechanical or pneumatic devices or systems,17-2199.05,Mechatronics Engineers,mechatronics engineers,Supplemental,66.0,Incumbent,1.0,0.0015342600263892731,0.001986847072380839,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,6375.0,28.0,0.01629510793944355,0.07267580851836976,0.004623027127705631,0.0014867440835550174,0.38185576923076925,3.37,59.83,False,1.100026923076923,3.76,65.33,False
"Research, select, or apply sensors, communication technologies, or control devices for motion control, position sensing, pressure sensing, or electronic communication.",research select or apply sensors communication technologies or control devices for motion control position sensing pressure sensing or electronic communication,17-2199.05,Mechatronics Engineers,mechatronics engineers,Core,66.0,Incumbent,1.0,0.004845031662281856,0.006274253912781522,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,6375.0,28.0,0.01629510793944355,0.07267580851836976,0.004623027127705631,0.0014867440835550174,0.660738076923077,3.7,75.37,False,0.7388876923076924,3.67,82.81,False
Provide consultation or training on topics such as mechatronics or automated control.,provide consultation or training on topics such as mechatronics or automated control,17-2199.05,Mechatronics Engineers,mechatronics engineers,Core,66.0,Incumbent,1.0,0.00532953482851009,0.006901679304059736,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,6375.0,28.0,0.01629510793944355,0.07267580851836976,0.004623027127705631,0.0014867440835550174,0.6374249999999999,3.6,69.09,False,0.2762057692307692,3.17,67.16,False
Analyze existing development or manufacturing procedures and suggest improvements.,analyze existing development or manufacturing procedures and suggest improvements,17-2199.05,Mechatronics Engineers,mechatronics engineers,Core,66.0,Incumbent,1.0,0.003310771635892583,0.004287406840400684,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,6375.0,28.0,0.01629510793944355,0.07267580851836976,0.004623027127705631,0.0014867440835550174,0.43598923076923074,3.51,85.82,False,0.4766196153846154,3.28,91.45,False
Design advanced precision equipment for accurate or controlled applications.,design advanced precision equipment for accurate or controlled applications,17-2199.05,Mechatronics Engineers,mechatronics engineers,Core,66.0,Incumbent,1.0,0.010416818073906061,0.013489645912480365,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,6375.0,28.0,0.01629510793944355,0.07267580851836976,0.004623027127705631,0.0014867440835550174,3.5211846153846156,3.97,81.88,False,1.3689784615384617,3.54,81.93,False
"Develop or validate specialized materials characterization procedures, such as thermal withstand, fatigue, notch sensitivity, abrasion, or hardness tests.",develop or validate specialized materials characterization procedures such as thermal withstand fatigue notch sensitivity abrasion or hardness tests,17-2199.06,Microsystems Engineers,microsystems engineers,Core,,Analyst,1.0,0.005733287467033591,0.0074245337967915465,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,17042.0,76.0,0.01629510793944355,0.07267580851836976,0.012358529931036765,0.00403544822679219,0.21692807692307692,3.51,62.39,False,0.9593697005393131,3.6774538745387457,84.85269372693728,True
Conduct experimental or virtual studies to investigate characteristics and processing principles of potential microelectromechanical systems (MEMS) technology.,conduct experimental or virtual studies to investigate characteristics and processing principles of potential microelectromechanical systems mems technology,17-2199.06,Microsystems Engineers,microsystems engineers,Core,,Analyst,1.0,0.012193329683409452,0.01579020568050031,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,17042.0,76.0,0.01629510793944355,0.07267580851836976,0.012358529931036765,0.00403544822679219,0.19222615384615382,3.65,66.45,False,0.9593697005393131,3.6774538745387457,84.85269372693728,True
"Demonstrate miniaturized systems that contain components such as microsensors, microactuators, or integrated electronic circuits fabricated on silicon or silicon carbide wafers.",demonstrate miniaturized systems that contain components such as microsensors microactuators or integrated electronic circuits fabricated on silicon or silicon carbide wafers,17-2199.06,Microsystems Engineers,microsystems engineers,Core,,Analyst,1.0,0.007106046438013478,0.009202239072079682,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,17042.0,76.0,0.01629510793944355,0.07267580851836976,0.012358529931036765,0.00403544822679219,0.3634415384615385,3.44,57.1,False,0.9593697005393131,3.6774538745387457,84.85269372693728,True
"Identify, procure, or develop test equipment, instrumentation, or facilities for characterization of microelectromechanical systems (MEMS) applications.",identify procure or develop test equipment instrumentation or facilities for characterization of microelectromechanical systems mems applications,17-2199.06,Microsystems Engineers,microsystems engineers,Core,,Analyst,1.0,0.0023417653034361963,0.0030325560578443583,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,17042.0,76.0,0.01629510793944355,0.07267580851836976,0.012358529931036765,0.00403544822679219,0.18720076923076923,3.14,59.17,False,0.9593697005393131,3.6774538745387457,84.85269372693728,True
"Create schematics and physical layouts of integrated microelectromechanical systems (MEMS) components or packaged assemblies consistent with process, functional, or package constraints.",create schematics and physical layouts of integrated microelectromechanical systems mems components or packaged assemblies consistent with process functional or package constraints,17-2199.06,Microsystems Engineers,microsystems engineers,Core,,Analyst,1.0,0.006298541160966477,0.00815653008661606,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,17042.0,76.0,0.01629510793944355,0.07267580851836976,0.012358529931036765,0.00403544822679219,0.44434615384615384,4.02,69.89,False,0.9593697005393131,3.6774538745387457,84.85269372693728,True
"Develop formal documentation for microelectromechanical systems (MEMS) devices, including quality assurance guidance, quality control protocols, process control checklists, data collection, or reporting.",develop formal documentation for microelectromechanical systems mems devices including quality assurance guidance quality control protocols process control checklists data collection or reporting,17-2199.06,Microsystems Engineers,microsystems engineers,Core,,Analyst,1.0,0.0032300211081879304,0.004182835941854382,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,17042.0,76.0,0.01629510793944355,0.07267580851836976,0.012358529931036765,0.00403544822679219,0.2943826923076923,3.39,69.91,False,0.9593697005393131,3.6774538745387457,84.85269372693728,True
"Investigate characteristics such as cost, performance, or process capability of potential microelectromechanical systems (MEMS) device designs, using simulation or modeling software.",investigate characteristics such as cost performance or process capability of potential microelectromechanical systems mems device designs using simulation or modeling software,17-2199.06,Microsystems Engineers,microsystems engineers,Core,,Analyst,1.0,0.034641976385315736,0.04486091547638848,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,17042.0,76.0,0.01629510793944355,0.07267580851836976,0.012358529931036765,0.00403544822679219,0.5215661538461538,3.89,67.88,False,0.9593697005393131,3.6774538745387457,84.85269372693728,True
"Create or maintain formal engineering documents, such as schematics, bills of materials, components or materials specifications, or packaging requirements.",create or maintain formal engineering documents such as schematics bills of materials components or materials specifications or packaging requirements,17-2199.06,Microsystems Engineers,microsystems engineers,Core,,Analyst,1.0,0.003310771635892583,0.004287406840400684,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,17042.0,76.0,0.01629510793944355,0.07267580851836976,0.012358529931036765,0.00403544822679219,0.3454823076923077,3.67,74.21,False,0.9593697005393131,3.6774538745387457,84.85269372693728,True
"Propose product designs involving microelectromechanical systems (MEMS) technology, considering market data or customer requirements.",propose product designs involving microelectromechanical systems mems technology considering market data or customer requirements,17-2199.06,Microsystems Engineers,microsystems engineers,Core,,Analyst,1.0,0.004199027440644317,0.005437686724410707,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,17042.0,76.0,0.01629510793944355,0.07267580851836976,0.012358529931036765,0.00403544822679219,0.16455461538461538,3.48,67.07,False,0.9593697005393131,3.6774538745387457,84.85269372693728,True
"Design or develop energy products using nanomaterials or nanoprocesses, such as micro-nano machining.",design or develop energy products using nanomaterials or nanoprocesses such as micronano machining,17-2199.06,Microsystems Engineers,microsystems engineers,Core,,Analyst,1.0,0.006863794854899362,0.008888526376440574,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,17042.0,76.0,0.01629510793944355,0.07267580851836976,0.012358529931036765,0.00403544822679219,0.3033476068376068,3.576666666666666,66.00777777777778,True,0.9593697005393131,3.6774538745387457,84.85269372693728,True
Conduct research on new photonics technologies.,conduct research on new photonics technologies,17-2199.07,Photonics Engineers,photonics engineers,Core,24.0,Occupational Expert,1.0,0.007267547493422864,0.009411380869172386,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,23337.0,104.0,0.01629510793944355,0.07267580851836976,0.016923542600669226,0.0055221923103472076,0.7301480769230768,3.64,95.65,False,0.9736865384615385,3.5,100.0,False
"Determine commercial, industrial, scientific, or other uses for electro-optical applications or devices.",determine commercial industrial scientific or other uses for electrooptical applications or devices,17-2199.07,Photonics Engineers,photonics engineers,Core,24.0,Occupational Expert,1.0,0.0028262684696644296,0.0036599814491225717,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,23337.0,104.0,0.01629510793944355,0.07267580851836976,0.016923542600669226,0.0055221923103472076,0.21322653846153844,3.06,78.26,False,0.2094326923076923,3.08,100.0,False
"Document design processes including objectives, issues, and outcomes.",document design processes including objectives issues and outcomes,17-2199.07,Photonics Engineers,photonics engineers,Core,24.0,Occupational Expert,1.0,0.002584016886550313,0.003346268753483465,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,23337.0,104.0,0.01629510793944355,0.07267580851836976,0.016923542600669226,0.0055221923103472076,0.4767745104895104,3.6345454545454543,90.90818181818182,True,0.28274884615384616,3.41,91.67,False
Determine applications of photonics appropriate to meet product objectives or features.,determine applications of photonics appropriate to meet product objectives or features,17-2199.07,Photonics Engineers,photonics engineers,Core,24.0,Occupational Expert,1.0,0.0012112579155704247,0.0015685634781953297,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,23337.0,104.0,0.01629510793944355,0.07267580851836976,0.016923542600669226,0.0055221923103472076,0.48839999999999995,3.65,100.0,False,0.523148076923077,3.46,100.0,False
Develop or test photonic prototypes or models.,develop or test photonic prototypes or models,17-2199.07,Photonics Engineers,photonics engineers,Core,24.0,Occupational Expert,1.0,0.0020995137203221586,0.0027188433622053537,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,23337.0,104.0,0.01629510793944355,0.07267580851836976,0.016923542600669226,0.0055221923103472076,0.9486823076923075,4.04,100.0,False,0.5235523076923077,3.7,95.83,False
Design electro-optical sensing or imaging systems.,design electrooptical sensing or imaging systems,17-2199.07,Photonics Engineers,photonics engineers,Core,24.0,Occupational Expert,1.0,0.004925782189986588,0.006378824811327926,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,23337.0,104.0,0.01629510793944355,0.07267580851836976,0.016923542600669226,0.0055221923103472076,0.18199615384615384,3.58,82.61,False,0.7666573076923076,3.64,91.67,False
"Oversee or provide expertise on manufacturing, assembly, or fabrication processes.",oversee or provide expertise on manufacturing assembly or fabrication processes,17-2199.07,Photonics Engineers,photonics engineers,Core,24.0,Occupational Expert,1.0,0.0013727589709798095,0.0017777052752880336,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,23337.0,104.0,0.01629510793944355,0.07267580851836976,0.016923542600669226,0.0055221923103472076,0.16702615384615382,3.21,82.61,False,0.5315423076923076,3.29,87.5,False
Conduct testing to determine functionality or optimization or to establish limits of photonics systems or components.,conduct testing to determine functionality or optimization or to establish limits of photonics systems or components,17-2199.07,Photonics Engineers,photonics engineers,Core,23.0,Occupational Expert,1.0,0.002907018997369082,0.003764552347668873,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,23337.0,104.0,0.01629510793944355,0.07267580851836976,0.016923542600669226,0.0055221923103472076,0.3282619230769231,3.67,91.3,False,0.5230330769230769,3.65,100.0,False
Write reports or research proposals.,write reports or research proposals,17-2199.07,Photonics Engineers,photonics engineers,Core,24.0,Occupational Expert,1.0,0.027858932058121025,0.03607695999849421,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,23337.0,104.0,0.01629510793944355,0.07267580851836976,0.016923542600669226,0.0055221923103472076,0.4767745104895104,3.6345454545454543,90.90818181818182,True,0.20802423076923077,3.75,100.0,False
"Design, integrate, or test photonics systems or components.",design integrate or test photonics systems or components,17-2199.07,Photonics Engineers,photonics engineers,Core,24.0,Occupational Expert,1.0,0.009205560158335638,0.011921082434285035,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,23337.0,104.0,0.01629510793944355,0.07267580851836976,0.016923542600669226,0.0055221923103472076,0.680036923076923,3.95,95.65,False,1.1631207692307692,4.21,100.0,False
Analyze system performance or operational requirements.,analyze system performance or operational requirements,17-2199.07,Photonics Engineers,photonics engineers,Core,24.0,Occupational Expert,1.0,0.05313384722969166,0.06880765124350485,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,23337.0,104.0,0.01629510793944355,0.07267580851836976,0.016923542600669226,0.0055221923103472076,0.5291288461538461,4.14,91.3,False,1.6376134615384617,3.91,100.0,False
"Analyze, fabricate, or test fiber-optic links.",analyze fabricate or test fiberoptic links,17-2199.07,Photonics Engineers,photonics engineers,Supplemental,24.0,Occupational Expert,1.0,0.0015342600263892731,0.001986847072380839,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,23337.0,104.0,0.01629510793944355,0.07267580851836976,0.016923542600669226,0.0055221923103472076,0.2106919230769231,3.26,82.61,False,0.9365526923076923,2.95,79.17,False
"Review or approve designs, calculations, or cost estimates.",review or approve designs calculations or cost estimates,17-2199.08,Robotics Engineers,robotics engineers,Core,20.0,Occupational Expert,1.0,0.0015342600263892731,0.001986847072380839,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,15648.0,70.0,0.01629510793944355,0.07267580851836976,0.0113476279991118,0.0037168602088875433,0.5705457692307693,4.11,96.67,False,1.0488461538461538,3.9,100.0,False
Plan mobile robot paths and teach path plans to robots.,plan mobile robot paths and teach path plans to robots,17-2199.08,Robotics Engineers,robotics engineers,Core,20.0,Occupational Expert,1.0,0.0019380126649126955,0.002509701565112548,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,15648.0,70.0,0.01629510793944355,0.07267580851836976,0.0113476279991118,0.0037168602088875433,0.35,3.32,66.67,False,0.8143773076923077,3.5,100.0,False
Provide technical support for robotic systems.,provide technical support for robotic systems,17-2199.08,Robotics Engineers,robotics engineers,Core,20.0,Occupational Expert,1.0,0.009609312796859138,0.012443936927016846,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,15648.0,70.0,0.01629510793944355,0.07267580851836976,0.0113476279991118,0.0037168602088875433,1.9094423076923075,3.81,86.67,False,1.5690384615384616,4.1,100.0,False
Write algorithms or programming code for ad hoc robotic applications.,write algorithms or programming code for ad hoc robotic applications,17-2199.08,Robotics Engineers,robotics engineers,Core,20.0,Occupational Expert,1.0,0.008640306464402751,0.01118908614446052,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,15648.0,70.0,0.01629510793944355,0.07267580851836976,0.0113476279991118,0.0037168602088875433,1.008591923076923,3.41,73.33,False,0.24255692307692306,3.06,85.0,False
Analyze and evaluate robotic systems or prototypes.,analyze and evaluate robotic systems or prototypes,17-2199.08,Robotics Engineers,robotics engineers,Core,20.0,Occupational Expert,1.0,0.004925782189986588,0.006378824811327926,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,15648.0,70.0,0.01629510793944355,0.07267580851836976,0.0113476279991118,0.0037168602088875433,0.8372797435897436,3.7155555555555555,81.48222222222222,True,0.21780461538461537,3.32,95.0,False
"Design software to control robotic systems for applications, such as military defense or manufacturing.",design software to control robotic systems for applications such as military defense or manufacturing,17-2199.08,Robotics Engineers,robotics engineers,Core,20.0,Occupational Expert,1.0,0.013162336015865838,0.017045056463056634,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,15648.0,70.0,0.01629510793944355,0.07267580851836976,0.0113476279991118,0.0037168602088875433,0.8678907692307691,3.75,80.0,False,0.1540976923076923,3.21,70.0,False
"Document robotic application development, maintenance, or changes.",document robotic application development maintenance or changes,17-2199.08,Robotics Engineers,robotics engineers,Core,20.0,Occupational Expert,1.0,0.007025295910308748,0.00909766817353328,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,15648.0,70.0,0.01629510793944355,0.07267580851836976,0.0113476279991118,0.0037168602088875433,0.48307692307692307,3.6,83.33,False,0.4273076923076923,3.55,100.0,False
Conduct research on robotic technology to create new robotic systems or system capabilities.,conduct research on robotic technology to create new robotic systems or system capabilities,17-2199.08,Robotics Engineers,robotics engineers,Core,19.0,Occupational Expert,1.0,0.002745517941959698,0.003555410550576169,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,15648.0,70.0,0.01629510793944355,0.07267580851836976,0.0113476279991118,0.0037168602088875433,0.4623830769230769,3.74,90.0,False,0.16756461538461537,3.0,94.74,False
Debug robotics programs.,debug robotics programs,17-2199.08,Robotics Engineers,robotics engineers,Core,20.0,Occupational Expert,1.0,0.022367896174201474,0.028966138897341672,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,15648.0,70.0,0.01629510793944355,0.07267580851836976,0.0113476279991118,0.0037168602088875433,1.513505,3.92,80.0,False,0.9802496153846154,4.11,95.0,False
"Design robotic systems, such as automatic vehicle control, autonomous vehicles, advanced displays, advanced sensing, robotic platforms, computer vision, or telematics systems.",design robotic systems such as automatic vehicle control autonomous vehicles advanced displays advanced sensing robotic platforms computer vision or telematics systems,17-2199.08,Robotics Engineers,robotics engineers,Core,19.0,Occupational Expert,1.0,0.006944545382604015,0.008993097274986876,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,15648.0,70.0,0.01629510793944355,0.07267580851836976,0.0113476279991118,0.0037168602088875433,0.37008192307692306,3.78,76.67,False,0.10690923076923077,3.21,100.0,False
"Apply nanotechnology to improve the performance or reduce the environmental impact of energy products, such as fuel cells or solar cells.",apply nanotechnology to improve the performance or reduce the environmental impact of energy products such as fuel cells or solar cells,17-2199.09,Nanosystems Engineers,nanosystems engineers,Core,24.0,Occupational Expert,1.0,0.0067022937994899775,0.00867938457934787,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,19460.0,87.0,0.01629510793944355,0.07267580851836976,0.014112016926298286,0.004619526259617376,0.36201923076923076,3.35,80.95,False,0.4417307692307692,3.2,83.33,False
"Integrate nanotechnology with antimicrobial properties into products, such as household or medical appliances, to reduce the development of bacteria or other microbes.",integrate nanotechnology with antimicrobial properties into products such as household or medical appliances to reduce the development of bacteria or other microbes,17-2199.09,Nanosystems Engineers,nanosystems engineers,Supplemental,23.0,Occupational Expert,1.0,0.004037526385234932,0.005228544927318003,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,19460.0,87.0,0.01629510793944355,0.07267580851836976,0.014112016926298286,0.004619526259617376,0.19096923076923078,2.75,57.14,False,0.04205153846153847,2.4,65.22,False
Write proposals to secure external funding or to partner with other companies.,write proposals to secure external funding or to partner with other companies,17-2199.09,Nanosystems Engineers,nanosystems engineers,Core,24.0,Occupational Expert,1.0,0.03803349854891305,0.04925289321533558,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,19460.0,87.0,0.01629510793944355,0.07267580851836976,0.014112016926298286,0.004619526259617376,0.1926176923076923,3.65,100.0,False,0.7953984615384615,4.25,100.0,False
"Design or conduct tests of new nanotechnology products, processes, or systems.",design or conduct tests of new nanotechnology products processes or systems,17-2199.09,Nanosystems Engineers,nanosystems engineers,Core,23.0,Occupational Expert,1.0,0.0017765116095033104,0.002300559768019844,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,19460.0,87.0,0.01629510793944355,0.07267580851836976,0.014112016926298286,0.004619526259617376,1.0764776923076922,3.76,100.0,False,0.5151426923076923,3.68,95.65,False
Identify new applications for existing nanotechnologies.,identify new applications for existing nanotechnologies,17-2199.09,Nanosystems Engineers,nanosystems engineers,Core,24.0,Occupational Expert,1.0,0.0023417653034361963,0.0030325560578443583,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,19460.0,87.0,0.01629510793944355,0.07267580851836976,0.014112016926298286,0.004619526259617376,0.3031619230769231,3.35,100.0,False,0.9274149999999999,3.73,91.67,False
"Provide technical guidance or support to customers on topics such as nanosystem start-up, maintenance, or use.",provide technical guidance or support to customers on topics such as nanosystem startup maintenance or use,17-2199.09,Nanosystems Engineers,nanosystems engineers,Core,24.0,Occupational Expert,1.0,0.002745517941959698,0.003555410550576169,Architecture and Engineering Occupations,1.0,56.61,117750.0,54.47,113290.0,25125.0,1520.0,46.11,95900.0,62.7096,130424.00000000001,44.14,91810.0,60.03040000000001,124861.6,19460.0,87.0,0.01629510793944355,0.07267580851836976,0.014112016926298286,0.004619526259617376,1.426899230769231,3.56,85.71,False,0.4891038461538461,3.56,75.0,False
